Sr. No.,State Name,Common Name,Scientific Name,Family,IUCN Status / List,Common Name in Regional Language,Latitude,Longitude,Image,Photograph By,Bird_Link,Habitat
1,Andhra Pradesh,Rose-Ringed Parakeet,Alexandrinus Krameri (Psittacula krameri),Psittacidae (Parrots),LC,Rama Chiluka,15.9129,79.74,Images/Rose_ringed_Parakeet.png,Dr. C F Chaudhuri,https://datazone.birdlife.org/species/factsheet/rose-ringed-parakeet-alexandrinus-krameri,Urban Gardens
2,Arunachal Pradesh,Great Hornbill,Buceros Bicornis,Bucerotidae (Hornbills),NT,"Great Indian Hornbill, Great Pied Hornbill, Concave-casqued Hornbill",28.218,94.7278,Images/Great_Hornbill.png,Dr. Raju Kasambe,https://datazone.birdlife.org/species/factsheet/great-hornbill-buceros-bicornis,Evergreen & Moist Deciduous Forests
3,Assam,White-Winged Duck,Asarcornis Scutulata,"Anatidae (Ducks, Geese, Swans)",EN,Deo-hah (Spirit Duck),26.2006,92.9376,Images/White_winged_Duck.png,Antony Grossy,https://datazone.birdlife.org/species/factsheet/white-winged-duck-asarcornis-scutulata,Tropical Evergreen Forests
4,Bihar,House Sparrow,Passer Domesticus,Passeridae (Old World Sparrows),LC,Gauraiya or Goraiya,25.0961,85.3131,Images/House_Sparrow.png,Dhaval Vargiya,https://datazone.birdlife.org/species/factsheet/house-sparrow-passer-domesticus,Urban & Suburban Area
5,Chhattisgarh,Common Hill Myna,Gracula Religiosa Peninsularis,Sturnidae (Starlings),LC,Pahadi Maina or Bastar Maina,21.2787,81.8661,Images/Common_Hill_Myna.png,Kiran Urs,https://datazone.birdlife.org/species/factsheet/common-hill-myna-gracula-religiosa,Farms
6,Goa,Flame-Throated Bulbul,Rubigula Gularis,Pycnonotidae (Bulbuls),LC,Ruby-throated Yellow Bulbul or Flame-throated Bulbul,15.2993,74.124,Images/Flame_throated_Bulbul.png,Ashley Chiu,https://datazone.birdlife.org/species/factsheet/flame-throated-bulbul-rubigula-gularis,Evergreen Forests
7,Gujarat,Greater Flamingo,Phoenicopterus Roseus,Phoenicopteridae (Flamingos),LC,Surkhab,22.2587,71.1924,Images/Greater_Flamingo.png,Saleel Karkhanis,https://datazone.birdlife.org/species/factsheet/greater-flamingo-phoenicopterus-roseus,Wetlands
8,Haryana,Black Francolin,Francolinus Francolinus,"Phasianidae (Pheasants, Partridges, Turkeys, Grouse)",LC,Kaala Teetar,29.0588,76.0856,Images/Black_Francolin.png,Parth Kansara,https://datazone.birdlife.org/species/factsheet/black-francolin-francolinus-francolinus,Grasslands & Wetlands
9,Jharkhand,Western Koel,Eudynamys Scolopaceus,Cuculidae (Cuckoos),LC,Koel / Kokil,23.6102,85.2799,Images/Western_Koel.png,Ayanendu De,https://datazone.birdlife.org/species/factsheet/western-koel-eudynamys-scolopaceus,Urban Greenery
10,Karnataka,Indian Roller,Coracias Benghalensis,Coraciidae (Rollers),NT,"Neelakantha, Neelkanth  / Blue Jay",15.3173,75.7139,Images/Indian_Roller.png,Babasaheb Gaikwad,https://datazone.birdlife.org/species/factsheet/indian-roller-coracias-benghalensis,Agriculture
11,Kerala,Great Hornbill,Buceros Bicornis,Bucerotidae (Hornbills),NT,Malamuzhakki Vezhambal) (The Hornbill that makes the Mountain resound),10.8505,76.2711,Images/Great_Hornbill.png,Dr. Raju Kasambe,https://datazone.birdlife.org/species/factsheet/great-hornbill-buceros-bicornis,Evergreen & Moist Deciduous Forests
12,Madhya Pradesh,Indian Paradise-Flycatcher,Terpsiphone Paradisi,Monarchidae (Monarch-flycatchers),LC,"Doodhraj (due to White Plumage), Sultan Bulbul",22.9734,78.6569,Images/Indian_Paradise_flycatcher.png,Rupam Das,https://datazone.birdlife.org/species/factsheet/indian-paradise-flycatcher-terpsiphone-paradisi,Forests Ponds
